iter	Passed	Remaining
409	4833	2239
410	4844	2227
411	4858	2216
412	4874	2207
413	4885	2195
414	4897	2183
415	4909	2171
416	4920	2159
417	4931	2146
418	4941	2134
419	4952	2122
420	4962	2110
421	4973	2097
422	4984	2085
423	4995	2073
424	5005	2061
425	5016	2048
426	5026	2036
427	5029	2021
428	5040	2009
429	5050	1996
430	5061	1984
431	5072	1972
432	5082	1960
433	5093	1948
434	5104	1936
435	5114	1923
436	5125	1911
437	5136	1899
438	5147	1887
439	5149	1872
440	5160	1860
441	5175	1850
442	5186	1838
443	5198	1826
444	5209	1814
445	5221	1803
446	5233	1791
447	5244	1779
448	5255	1767
449	5267	1755
450	5278	1743
451	5290	1732
452	5301	1720
453	5312	1708
454	5322	1696
455	5333	1684
456	5344	1672
457	5355	1660
458	5366	1648
459	5377	1636
460	5387	1624
461	5398	1612
462	5409	1600
463	5420	1588
464	5430	1576
465	5441	1564
466	5452	1552
467	5463	1540
468	5474	1529
469	5485	1517
470	5495	1505
471	5507	1493
472	5519	1482
473	5530	1470
474	5542	1458
475	5553	1446
476	5564	1434
477	5575	1422
478	5586	1411
479	5597	1399
480	5611	1388
481	5622	1376
482	5633	1364
483	5644	1352
484	5656	1341
485	5668	1329
486	5679	1317
487	5690	1306
488	5702	1294
489	5713	1282
490	5726	1271
491	5737	1259
492	5748	1247
493	5760	1236
494	5771	1224
495	5783	1212
496	5795	1201
497	5807	1189
498	5819	1177
499	5830	1166
500	5842	1154
501	5853	1142
502	5865	1131
503	5876	1119
504	5887	1107
505	5899	1096
506	5911	1084
507	5922	1072
508	5933	1060
509	5944	1049
510	5955	1037
511	5966	1025
512	5979	1014
513	5990	1002
514	6001	990
515	6012	978
516	6023	967
517	6033	955
518	6044	943
519	6055	931
520	6066	919
521	6076	908
522	6087	896
523	6098	884
524	6109	872
525	6119	860
526	6130	849
527	6141	837
528	6152	825
529	6165	814
530	6176	802
531	6186	790
532	6197	779
533	6208	767
534	6219	755
535	6230	743
536	6242	732
537	6253	720
538	6264	708
539	6275	697
540	6285	685
541	6296	673
542	6307	662
543	6317	650
544	6328	638
545	6338	626
546	6350	615
547	6361	603
548	6374	592
549	6386	580
550	6398	568
551	6409	557
552	6421	545
553	6433	534
554	6445	522
555	6457	511
556	6468	499
557	6479	487
558	6494	476
559	6506	464
560	6518	453
561	6529	441
562	6540	429
563	6552	418
564	6563	406
565	6575	394
566	6586	383
567	6597	371
568	6610	360
569	6622	348
570	6634	336
571	6650	325
572	6662	313
573	6674	302
574	6685	290
575	6696	279
576	6710	267
577	6721	255
578	6732	244
579	6743	232
580	6756	220
581	6768	209
582	6780	197
583	6791	186
584	6807	174
585	6817	162
586	6828	151
587	6840	139
588	6851	127
589	6862	116
590	6873	104
591	6884	93
592	6895	81
593	6908	69
594	6919	58
595	6932	46
596	6943	34
597	6954	23
598	6966	11
599	6977	0
